session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,candidate_count,accepted_candidates,coverage,threshold,selective_risk_mm
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,83,0.5424836601307189,0.9025276303291321,5.06729569868519
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,84,0.5490196078431373,0.9022085666656494,5.064348130974673
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,85,0.5555555555555556,0.9009423851966858,5.056090467982424
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,86,0.5620915032679739,0.8988839387893677,5.032216749297337
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,87,0.5686274509803921,0.8983389735221863,5.007531081991924
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,88,0.5751633986928104,0.8976132273674011,5.047031799995067
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,89,0.5816993464052288,0.8974478840827942,5.0312263713199705
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,90,0.5882352941176471,0.8973178267478943,5.046380786666754
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,91,0.5947712418300654,0.8969566822052002,5.072186657163432
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,92,0.6013071895424836,0.8963638544082642,5.110803207457709
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,93,0.6078431372549019,0.896027684211731,5.087234311061355
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,94,0.6143790849673203,0.8949224352836609,5.11740144934933
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,95,0.6209150326797386,0.8929335474967957,5.102616012960327
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,96,0.6274509803921569,0.891363263130188,5.1364144701949215
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,97,0.6339869281045751,0.8908492922782898,5.281390597457883
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,98,0.6405228758169934,0.8901523351669312,5.288111702956129
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,99,0.6470588235294118,0.8900958895683289,5.312757146228548
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,100,0.6535947712418301,0.8898370265960693,5.308129945421266
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,101,0.6601307189542484,0.8894453644752502,5.314781501173439
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,102,0.6666666666666666,0.8888386487960815,5.343001735591045
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,103,0.673202614379085,0.8876373767852783,5.367932559839239
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,104,0.6797385620915033,0.8855041265487671,5.346773448812395
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,105,0.6862745098039216,0.8837305307388306,5.366453579712382
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,106,0.6928104575163399,0.8824291229248047,5.406680658412386
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,107,0.6993464052287581,0.8823961019515991,5.398339060996414
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,108,0.7058823529411765,0.8821755647659302,5.412031091148378
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,109,0.7124183006535948,0.8817751407623291,5.39066000361315
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,110,0.7189542483660131,0.881071150302887,5.425430963465179
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,111,0.7254901960784313,0.8795316219329834,5.43952164446057
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,112,0.7320261437908496,0.8781920075416565,5.423322718843524
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,113,0.738562091503268,0.8781150579452515,5.422003403111102
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,114,0.7450980392156863,0.877470076084137,5.563947409885656
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,115,0.7516339869281046,0.8762654662132263,5.670442666888276
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,116,0.7581699346405228,0.8757561445236206,5.686252742439572
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,117,0.7647058823529411,0.8720110058784485,5.685138379444094
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,118,0.7712418300653595,0.870141327381134,5.663831133136054
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,119,0.7777777777777778,0.869971513748169,5.654408258695903
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,120,0.7843137254901961,0.8690937757492065,5.624275725602151
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,121,0.7908496732026143,0.8687978386878967,5.607414479846106
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,122,0.7973856209150327,0.8678603768348694,5.58854277262253
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,123,0.803921568627451,0.8671646118164062,5.5754468084715105
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,124,0.8104575163398693,0.8614769577980042,5.711927456344311
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,125,0.8169934640522876,0.8587191700935364,5.70833143835287
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,126,0.8235294117647058,0.8550655841827393,5.711040973840766
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,127,0.8300653594771242,0.8541532158851624,5.729292072341865
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,128,0.8366013071895425,0.8539820313453674,5.723884246609245
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,129,0.8431372549019608,0.8535177707672119,5.735880054558011
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,130,0.8496732026143791,0.8528441190719604,5.722412541490908
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,131,0.8562091503267973,0.8493422269821167,5.734863727885113
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,132,0.8627450980392157,0.8429473042488098,5.724405116139185
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,133,0.869281045751634,0.8391754031181335,5.719205059948501
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,134,0.8758169934640523,0.8370509743690491,5.7120944004426555
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,135,0.8823529411764706,0.8362414836883545,5.693595182042448
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,136,0.8888888888888888,0.8330957889556885,5.669068008590595
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,137,0.8954248366013072,0.8288392424583435,5.677485304539054
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,138,0.9019607843137255,0.8283337354660034,5.672599132162649
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,139,0.9084967320261438,0.8232752084732056,5.680372793781791
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,140,0.9150326797385621,0.8207788467407227,5.692326599061151
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,141,0.9215686274509803,0.8193976879119873,5.696302691026592
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,142,0.9281045751633987,0.8177690505981445,5.712288886492999
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,143,0.934640522875817,0.8101804256439209,5.7070830557267485
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,144,0.9411764705882353,0.7911378741264343,5.715241152911728
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,145,0.9477124183006536,0.790869951248169,5.71598507605052
