segment,variant,active_frames,duration_s,reference_speed_median_m_s,reference_speed_p95_m_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,trailing_distance_median_mm,trailing_distance_p95_mm,cross_track_median_mm,cross_track_p95_mm,effective_lag_ms,lag_compensated_residual_mm,translation_jump_p95_mm,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
7,One-Euro Anchor,142,2.332915500002855,0.4033057565671434,0.5616335347558536,116.69066744648566,169.3255827925255,8.224518275667599,10.773169387801518,116.25755333590428,168.42239240876773,15.684982722219186,50.81295596261307,410.00000000000006,11.107590323974145,30.945072993266812,45.08468522512603,2.714488873433106,9.087520619732977,86.61971830985915,223.71650000059162,223.71650000059162,100.0
7,EgoAnchor,142,2.332915500002855,0.4033057565671434,0.5616335347558536,101.89941078498109,129.48905406065924,7.258888187936773,9.764267700526895,101.645874323815,129.24976140388125,11.461628870514463,33.04245293491747,335.0,4.5317174207128055,9.323132648253798,10.483729457206195,0.9991931945111209,67.91725936853067,0.0,223.71650000059162,289.7572796282475,100.0
7,EgoAnchor w/o capture-time alignment,142,2.332915500002855,0.4033057565671434,0.5616335347558536,118.47816846825681,143.21264114297236,7.343594219698909,10.177437440200894,118.18471374714878,142.24761240498398,16.53162180029363,41.70051223284764,370.0,11.150372730338956,9.721122392649558,11.682298138909744,1.0294786543175365,67.91725936853067,0.0,223.71650000059162,250.0230499972531,100.0
7,EgoAnchor w/o VCD,142,2.332915500002855,0.4033057565671434,0.5616335347558536,101.90020786820577,129.48987745241988,7.258904322382206,9.76432276869674,101.64626880108938,129.25057659275532,11.46178694779405,33.04276097370238,335.0,4.5318688769626085,9.323263110209863,10.483754234506913,0.9991908732571417,67.91725936853067,0.0,223.71650000059162,289.7582043042348,100.0
7,EgoAnchor w/o temporal synthesis,142,2.332915500002855,0.4033057565671434,0.5616335347558536,77.82843307847125,119.75824113225147,5.811733821329636,9.165388674478313,77.12169375926723,119.58030041714031,9.096625975581938,21.35746776128158,285.00000000000006,8.677203223999909,30.872569408630746,45.78354898331673,4.024963700193296,9.087520619732977,86.61971830985915,223.71650000059162,223.71650000059162,100.0
7,EgoAnchor w/o StaticLock,142,2.332915500002855,0.4033057565671434,0.5616335347558536,101.9003325402972,129.49004774412526,7.258908771566574,9.764326634828652,101.64645777764109,129.2507457982139,11.46182994803134,33.0428415164753,335.0,4.531922350932711,9.323154934345862,10.483634697259136,0.999189386256931,67.91725936853067,0.0,223.71650000059162,289.75855805765605,100.0
8,Arrival-Hold,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,45.97619809326297,71.30869456418276,4.83636765831365,7.118694853384819,45.9420852059466,71.30743131681116,2.306176914152686,5.128344730873367,165.0,7.147739643552028,29.7703509500221,40.88165528726643,3.5100260949535125,9.670609924216645,86.1788617886179,216.32639999734238,49.08249999425607,100.0
8,Capture-Hold,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,64.08586385678414,99.37896133289156,6.056182726198971,8.763860269864628,63.99487033438792,99.00640260770034,3.356892965010407,20.07333133749905,245.0,7.154859958510695,28.47246275871387,41.546253990384564,3.5593079904430582,9.670609924216645,86.1788617886179,216.32639999734238,216.32639999734238,100.0
8,One-Euro Anchor,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,97.5485534335209,139.52177833674136,8.557131644789575,11.831062907613147,96.40997871399644,139.46597156963537,5.0822366019616485,48.54773569784547,370.0,8.026187293096497,26.345540803806408,40.471783262018754,3.2854381239187114,9.670609924216645,86.1788617886179,216.32639999734238,216.32639999734238,100.0
8,EgoAnchor,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,83.48441914154937,109.29361670778104,7.607554139606559,9.384928723229638,83.31379990451228,109.28149073090721,4.308697721129638,31.756970021915784,310.0,3.6928154937846642,8.293794273456449,8.984964915073755,0.8387874595919802,69.96970709874397,0.0,216.32639999734238,274.9609856036841,100.0
8,EgoAnchor w/o capture-time alignment,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,105.37726196004924,130.43370858228653,8.77363694255808,11.203320624997174,104.93825876631267,130.3161103155645,4.7315292133789235,41.64207678101046,375.0,3.7159335192044027,8.965628036830836,10.613973374952204,0.9936866953484785,69.96970709874397,0.0,216.32639999734238,250.02300000051036,100.0
8,EgoAnchor w/o VCD,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,83.48385094364465,109.29443307616715,7.607573767607757,9.384961234423836,83.31323471925073,109.28230905317943,4.308440639240632,31.757097278019838,310.0,3.693053058071504,8.294153729387086,8.985322614793915,0.8388417000949103,69.96970709874397,0.0,216.32639999734238,274.96142447489547,100.0
8,EgoAnchor w/o temporal synthesis,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,64.08586385678414,99.37896133289156,6.056182726198971,8.763860269864628,63.99487033438792,99.00640260770034,3.356892965010407,20.07333133749905,245.0,7.154859958510695,28.47246275871387,41.546253990384564,3.5593079904430582,9.670609924216645,86.1788617886179,216.32639999734238,216.32639999734238,100.0
8,EgoAnchor w/o StaticLock,123,1.8610199999966426,0.3885283368875162,0.5448130447527347,83.4839868571304,109.29457269834273,7.607537243744541,9.384974871238171,83.31337012316483,109.2824491910572,4.308411088705147,31.75721531217009,310.0,3.693132582830133,8.294276227762687,8.985249952764747,0.8388357020908899,69.96970709874397,0.0,216.32639999734238,274.9618047091644,100.0
9,Arrival-Hold,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,46.542240368054316,67.28167978158606,3.0783375175363683,5.166173691308652,45.01965120206622,66.60751958883732,7.161196332962618,20.95370324968048,215.0,9.804213553940091,25.938550624774795,32.85839984919992,3.299966536616238,8.912238387599476,85.26315789473684,216.69260000635404,49.38100000435952,100.0
9,Capture-Hold,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,55.57990310731905,78.39636564208432,2.7602356516827182,5.4134320825239834,54.91028255967739,78.09506460797314,7.868709314283993,17.378506955889442,240.0,6.944593042368362,25.703799556628987,33.95704967665954,3.35462628855405,8.912238387599476,85.26315789473684,216.69260000635404,216.69260000635404,100.0
9,One-Euro Anchor,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,86.98241535565842,113.31816494700101,3.390537414572531,6.042939043417181,85.25250046628095,112.25202569139621,17.816285602988525,46.76131710621805,370.0,8.146597307550033,26.184645787707264,32.77394552370646,1.5630155667811727,8.912238387599476,85.26315789473684,216.69260000635404,216.69260000635404,100.0
9,EgoAnchor,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,76.5027614977191,87.35265217586372,2.970318639169372,6.281486280610821,75.92791313041661,87.00495806876211,10.942405602163118,25.314838993883306,315.0,4.397015039076592,7.301159932617176,8.257268867697741,1.0764218783119812,60.47590334442502,0.0,216.69260000635404,288.4000964113511,100.0
9,EgoAnchor w/o capture-time alignment,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,93.72804426151522,114.31911705566291,3.9952873512195146,7.1834268163559685,92.71554465377324,113.31349008911687,14.221175653172237,33.98969115073852,405.0,7.211656568295366,7.281448234615033,9.564495098158483,0.9533146549941379,60.47590334442502,0.0,216.69260000635404,250.02249999670312,100.0
