segment,variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_frames,translation_median_mm,translation_p95_mm
3,One-Euro Anchor,0.4,0.5,0.45,39,106.9954962657927,124.28808347592478
3,EgoAnchor,0.1,0.2,0.15000000000000002,25,43.337090314149634,64.7147088590491
3,EgoAnchor,0.2,0.3,0.25,36,67.50829099344557,99.00808236754526
3,EgoAnchor,0.3,0.4,0.35,52,85.25559708915031,98.5259823161457
3,EgoAnchor,0.4,0.5,0.45,39,93.29309056930168,98.1456732872037
4,Arrival-Hold,0.1,0.2,0.15000000000000002,22,31.799888561074283,43.51673656852744
4,Arrival-Hold,0.2,0.3,0.25,28,35.12252079660947,51.90565687173193
4,Arrival-Hold,0.3,0.4,0.35,49,48.13722924737126,65.28798807931157
4,Arrival-Hold,0.4,0.5,0.45,15,53.732716904096456,69.5210352121536
4,Capture-Hold,0.1,0.2,0.15000000000000002,22,41.006123131466765,57.63318253904858
4,Capture-Hold,0.2,0.3,0.25,28,46.32499688024332,71.68021259669395
4,Capture-Hold,0.3,0.4,0.35,49,66.17309846107518,84.27518847301056
4,Capture-Hold,0.4,0.5,0.45,15,69.53876587490221,86.19723267455348
4,One-Euro Anchor,0.1,0.2,0.15000000000000002,22,69.82339733666517,95.49572221634008
4,One-Euro Anchor,0.2,0.3,0.25,28,80.78515062012227,110.01353275711836
4,One-Euro Anchor,0.3,0.4,0.35,49,97.05200713044283,118.54599729453794
4,One-Euro Anchor,0.4,0.5,0.45,15,98.62530965860478,117.56415200873141
4,EgoAnchor,0.1,0.2,0.15000000000000002,22,52.681494696916964,75.85392690498075
4,EgoAnchor,0.2,0.3,0.25,28,65.06372517782589,85.75575033133025
4,EgoAnchor,0.3,0.4,0.35,49,86.79289456415394,93.89972812404093
4,EgoAnchor,0.4,0.5,0.45,15,87.549288346281,90.69423862868533
5,Arrival-Hold,0.1,0.2,0.15000000000000002,25,18.142432696261782,36.07907499191452
5,Arrival-Hold,0.3,0.4,0.35,30,48.1898563938036,65.41484141208237
5,Arrival-Hold,0.4,0.5,0.45,45,58.25029863955113,79.83413890266287
5,Arrival-Hold,0.5,0.6,0.55,27,69.03772220750432,87.86236896721675
5,Capture-Hold,0.1,0.2,0.15000000000000002,25,31.175844254689917,49.712045232144426
