event,variant,occlusion_duration_s,candidate_count_occlusion,candidate_pose_count_occlusion,candidate_no_pose_count_occlusion,candidate_count_post_visible,candidate_pose_count_post_visible,admission_accepted_occlusion,admission_rejected_occlusion,admission_no_pose_occlusion,pre_trans_p95_mm,pre_rot_p95_deg,stable_trans_threshold_mm,stable_rot_threshold_deg,occlusion_trans_median_mm,occlusion_trans_p95_mm,occlusion_trans_max_mm,occlusion_rot_p95_deg,occlusion_rot_max_deg,occlusion_jump_p95_mm,occlusion_jump_max_mm,occlusion_jump_p95_deg,occlusion_jump_max_deg,occlusion_harmful_output_jumps,post_trans_p95_mm,post_trans_max_mm,post_rot_p95_deg,post_rot_max_deg,post_jump_max_mm,post_jump_max_deg,first_fresh_display_ms,durable_recovery_ms,durable_recovery_success,display_coverage_pct,frozen_fraction_occ_pct,tracking_fraction_post_pct
3,EgoAnchor w/o VCD,3.0959266999998363,34,14,20,24,24,14,0,17,1.541759259170583,2.9259941964099645,10.0,8.0,1.4732536410753037,1.8216643582947571,2.4919724312219356,4.690241412586631,4.731636544798628,0.0033497309753973423,1.1292731491214691,0.012076643834470213,2.6159743743087085,0,1.8056788162751978,1.8209931748208183,4.627672174403432,4.67899381633719,0.03159590577905256,0.06799547727458374,167.06079999858048,167.06079999858048,True,100.0,13.23529411764706,0.0
3,EgoAnchor w/o temporal synthesis,3.0959266999998363,34,14,20,24,24,12,2,17,1.537924724115904,2.901874789133847,10.0,8.0,1.4692382350830682,1.7762889427469264,2.4919724312219356,4.7385238635165505,4.7841567388815385,0.004001422282095625,1.1165133587647738,0.010559528552828124,2.781113165394438,0,1.7642042533224296,1.7782782138475839,4.673491479729683,4.726479856671045,0.030596232647805963,0.07033159708753377,167.06079999858048,167.06079999858048,True,100.0,18.627450980392158,0.0
3,EgoAnchor w/o StaticLock,3.0959266999998363,34,14,20,24,24,12,2,17,1.5910025558714844,4.065716738843629,10.0,8.131433477687258,1.4912574689546698,1.918729409243117,2.4919724312219356,4.662911943724132,5.100828926328451,0.1768348849849999,3.7296814192620857,0.4558890562209796,2.6159804213123974,0,1.7226549675877378,1.8857473513202236,4.659717789158494,5.578682382974038,0.5752873138606952,1.3889880723015808,167.06079999858048,167.06079999858048,True,100.0,18.627450980392158,0.0
3,EgoAnchor w/o capture-time alignment,3.0959266999998363,34,14,20,24,24,12,2,17,1.4228383098349877,2.5027177977128243,10.0,8.0,1.4730412624573792,6.570952947572867,6.570952947572867,4.528299768971736,4.730382083443566,0.11220509428914058,5.346193528092663,0.22833851907318045,2.5243846158928944,0,1.7356559510715803,1.7368940621422253,4.148388491993356,4.189493806931056,0.03628243517587522,0.06659985392741209,167.06079999858048,167.06079999858048,True,100.0,18.627450980392158,0.0
4,Arrival-Hold,3.196265599995968,36,11,25,26,26,12,0,17,2.1791328690176184,5.932275170218921,10.0,11.864550340437843,13.247592728972359,13.247592728972359,13.247592728972359,15.24608489573592,15.24608489573592,0.548755272235246,14.304761232480079,0.5896978325577509,12.699639384515013,2,2.370149856882755,2.6743200664774545,5.778942657340072,6.22226077597323,1.712898118205006,3.0937375746532436,151.83120000438066,151.83120000438066,True,100.0,16.143497757847534,0.0
4,Capture-Hold,3.196265599995968,36,11,25,26,26,12,0,17,1.7550273270962786,5.863707308447175,10.0,11.72741461689435,12.170710020494496,12.170710020494496,12.170710020494496,15.02840678664403,15.02840678664403,0.25522668558496486,12.759382004427176,0.5369463796697912,12.335555280411617,2,2.0504137669614075,2.3778853170993246,5.787062285960363,6.220791516226722,1.6121218000762643,3.1217435930218316,151.83120000438066,151.83120000438066,True,100.0,16.143497757847534,0.0
4,One-Euro Anchor,3.196265599995968,36,11,25,26,26,12,0,17,1.537239943448856,4.232859680842814,10.0,8.465719361685627,5.855182152858392,5.855182152858392,5.855182152858392,8.629964178978536,8.629964178978536,0.10292255545244043,6.403647563940605,0.1171446781050178,5.911129326765397,2,1.703649824331273,1.7635163425077722,4.861222668076366,5.267428080621955,0.6178990691551847,1.1846149925879832,151.83120000438066,151.83120000438066,True,100.0,16.143497757847534,0.0
4,EgoAnchor,3.196265599995968,36,11,25,26,26,12,0,17,1.6678244309365813,4.268856233362085,10.0,8.53771246672417,1.5618030525542683,1.6007467040306471,1.7647582515894353,4.127608838013102,4.176481063517247,0.0,0.7775523494921975,2.4148365394514667e-06,2.5051965242744494,0,1.208610698353594,1.211108432826389,3.617741491379762,3.623186752518616,0.03821873760341973,0.07604234659355882,151.83120000438066,151.83120000438066,True,100.0,17.937219730941703,0.0
4,EgoAnchor w/o VCD,3.196265599995968,36,11,25,26,26,12,0,17,1.6678227640952197,4.268859131832393,10.0,8.537718263664786,1.5618012729998607,1.600743781782126,1.7647582515894353,4.127607852789798,4.176479399449466,0.0,0.7775545620012784,2.4148365394514667e-06,2.5052021011374936,0,1.2086043377747735,1.211102006856126,3.617750859881082,3.6231942632303156,0.038218519650155075,0.07604255571787776,151.83120000438066,151.83120000438066,True,100.0,16.143497757847534,0.0
4,EgoAnchor w/o temporal synthesis,3.196265599995968,36,11,25,26,26,12,0,17,1.6378577490224813,4.304681768259026,10.0,8.609363536518051,1.5411537268955218,1.5770265298532455,1.7647582515894353,4.154288211965491,4.2053908580418335,0.0,0.7792899113969024,2.9575586669421963e-06,2.574310468474275,0,1.1943335118064746,1.1967066975888414,3.63509157409106,3.6410539412760627,0.03850789958294833,0.07531688930021531,151.83120000438066,151.83120000438066,True,100.0,18.385650224215247,0.0
4,EgoAnchor w/o StaticLock,3.196265599995968,36,11,25,26,26,12,0,17,1.730807439332577,5.190835986294852,10.0,10.381671972589704,15.28087807137669,20.074820059217146,20.074820059217146,23.10310986251005,23.10310986251005,0.4112787314075634,20.694442789528882,0.6808409580284392,20.469965217690433,1,1.993074242090499,2.354491616262199,5.818531318577666,6.219618412221003,0.45115992505797997,1.2786868513070548,151.83120000438066,151.83120000438066,True,100.0,18.385650224215247,0.0
4,EgoAnchor w/o capture-time alignment,3.196265599995968,36,11,25,26,26,12,0,17,1.6527964957575652,3.917863766916407,10.0,8.0,1.5858927996380943,4.77066744866042,4.77066744866042,3.8493042426083854,3.878664449971813,0.04231587574949804,3.434157020548138,0.03401427529584364,2.326333346117877,0,1.2059968604914635,1.6834176589457872,4.342706448910397,4.34337035812529,0.32125308446302675,0.4487293530503698,151.83120000438066,151.83120000438066,True,100.0,18.385650224215247,0.0
5,Arrival-Hold,3.5267745000019204,43,17,26,44,44,16,0,19,2.370149856882755,4.330185103918904,10.0,8.660370207837808,15.259479379294238,15.259479379294238,15.259479379294238,24.402464551861545,24.402464551861545,0.6152314855761905,20.144647739756937,1.070682677694166,27.068534936432936,2,2.500867266162685,3.344274413832687,4.644347339958232,6.7903002468333185,2.2420832921258183,4.402895822425828,321.78769999882206,321.78769999882206,True,100.0,12.653061224489795,0.0
5,Capture-Hold,3.5267745000019204,43,17,26,44,44,16,0,19,2.0504137669614075,4.32992146576651,10.0,8.65984293153302,13.685441047201,13.685441047201,13.685441047201,24.567087728476704,24.567087728476704,0.4044256412568611,15.493564173017047,0.9153234976489248,27.43776970398633,2,2.196550349979897,3.428613731657287,4.6662041204617255,6.729689059922913,2.3410191364270747,4.32354439949017,321.78769999882206,321.78769999882206,True,100.0,12.653061224489795,0.0
5,One-Euro Anchor,3.5267745000019204,43,17,26,44,44,16,0,19,1.647550560162207,3.856882313161738,10.0,8.0,4.576179164462765,4.576179164462765,4.576179164462765,9.052214734184139,9.052214734184139,0.12948704279560347,6.408777934675923,0.3657772711957232,11.795048007616076,2,1.7894512670810208,2.0656947432921946,3.918563163130449,4.686497107413364,0.8019250507983596,1.8701963084436453,321.78769999882206,321.78769999882206,True,100.0,12.653061224489795,0.0
5,EgoAnchor,3.5267745000019204,43,17,26,44,44,15,1,19,1.179972966274408,3.4592218340992593,10.0,8.0,1.230206247537247,2.1130416336693347,2.3339033581552915,4.820198506415062,4.834755902434338,0.002421753678647345,1.1243011237957292,0.009120157894062435,4.013306180425838,0,2.086145895245345,2.086145895245345,4.710455565207946,4.710455565207946,0.05214374351008944,0.08780767173432084,321.78769999882206,321.78769999882206,True,100.0,15.918367346938775,0.0
5,EgoAnchor w/o VCD,3.5267745000019204,43,17,26,44,44,16,0,19,1.1799705216843372,3.459228830423385,10.0,8.0,15.48747276657549,23.970231433036943,23.970231433036943,42.52972773450005,42.52972773450005,0.3211021402455938,25.791216456964776,0.5770498718271853,45.37381289415072,2,2.086139007669432,2.086139007669432,4.71048152755199,4.71048152755199,0.05214368834284763,0.08780861958683346,321.78769999882206,321.78769999882206,True,100.0,12.653061224489795,0.0
5,EgoAnchor w/o temporal synthesis,3.5267745000019204,43,17,26,44,44,15,1,19,1.1702042098118133,3.4692534874822845,10.0,8.0,1.2220721646675152,2.1261693535597357,2.3339033581552915,5.166641521584593,5.1716416421102585,0.0,1.2644906799275413,2.9575586669421963e-06,4.515852166680143,0,2.119918139734434,2.119918139734434,5.101762552598023,5.101762552598023,0.03762511316927644,0.10819362215536239,321.78769999882206,321.78769999882206,True,100.0,15.918367346938775,0.0
5,EgoAnchor w/o StaticLock,3.5267745000019204,43,17,26,44,44,15,1,19,2.0016870365609782,4.236818499282091,10.0,8.473636998564182,2.139720312318453,2.6653936326958965,2.6653936326958965,5.4639360760634395,5.5573038909227055,0.21181504295346953,4.93351542790137,0.5537935503457038,4.448221097899709,0,2.0022524991491317,3.2738564468299853,4.114065748342045,6.3438737091481,1.1909689166337274,2.41329104954253,321.78769999882206,321.78769999882206,True,100.0,15.918367346938775,0.0
5,EgoAnchor w/o capture-time alignment,3.5267745000019204,43,17,26,44,44,15,1,19,1.1850174048620432,4.002943259837166,10.0,8.005886519674332,1.1829181103665738,5.408705800307119,5.408705800307119,5.187920163366416,5.2479199381209405,0.09445936936088535,4.3303544214915295,0.10421875999094693,2.9639902619994647,0,2.2628422348850132,2.2628422348850132,5.116627658449466,5.116627658449466,0.054542663570470565,0.0900829565462043,321.78769999882206,321.78769999882206,True,100.0,15.918367346938775,0.0
