coverage_pct,vcd_p95_translation_mm,random_median_p95_translation_mm,random_p10_p95_translation_mm,random_p90_p95_translation_mm,oracle_p95_translation_mm,vcd_p95_rotation_deg
43.00000000000001,3.9492611969459297,8.91184230199167,8.099758763860681,12.061430639644378,1.7755018724097567,4.5933831925269795
44.00000000000001,3.9106257654838346,8.917134641560068,8.112310504114129,12.110890363560507,1.8083860723312146,4.586070417937952
45.00000000000001,4.005508879680558,8.846919712430214,8.104155650752736,12.080980535093515,1.8907988719608333,4.651233745949195
46.0,3.96213967409996,8.891996744555636,8.131934664855686,12.017402024497004,1.909097060156539,4.660316788663034
47.0,3.929943481214882,8.881239108962149,8.131450897369309,11.950391314779287,1.9487983092270778,4.7295965810607035
48.0,4.03192725658936,8.867743604156917,8.175110508761167,11.914483387126008,1.9796259239872032,4.788977813620294
49.0,3.9820142787514534,8.77594892292931,8.168224150630405,12.03473457371271,2.0341259237678906,4.802476822888807
50.0,4.110782342198352,8.854984588657619,8.14638438879213,11.99059774060992,2.049471359204255,4.797655748150052
51.0,4.192181894264351,8.875379148829484,8.176507355295536,11.910184888948654,2.082822419944883,4.808872397297511
52.0,4.248030890604061,8.851966445577286,8.182463237773304,11.839741980109716,2.1282211563110596,4.824982615655408
53.0,4.2203446473953425,8.891996744555646,8.161687852032095,11.809782329742617,2.1424706935521725,4.8143037567584654
54.0,4.202742926688474,8.884752924811671,8.177904201829906,11.950391314779294,2.174673077125173,4.847845132335143
55.00000000000001,4.181620861840232,8.830574170451662,8.203968680299287,11.869978463118029,2.202612504288587,4.835560228253676
56.00000000000001,4.163990566482121,8.945465557771794,8.181629125921555,11.731122944067028,2.258287137338337,4.864225004443764
57.00000000000001,4.322857657141822,8.902812509598334,8.238966982485323,11.30005408806742,2.337451101322444,4.886018669259925
57.99999999999999,4.42158944847454,8.857663547631661,8.282506421701951,11.087926948238758,2.373282993782962,4.953577148113645
59.0,4.482763621780457,8.846919712430196,8.280544256734387,11.829772037287388,2.418262876176438,4.9524495644125714
60.0,4.4510896288147475,8.929901886778346,8.25209134580509,11.515588516067265,2.4681151154284606,4.940989208173829
61.0,4.604592211053469,8.950061999828847,8.314593574441039,11.084519660067656,2.5443861319956564,5.008136924048403
62.0,4.589348943109712,8.867743604156917,8.313965974535847,10.725295613401327,2.5868069195990264,4.981984619782097
63.0,4.568692377356898,8.946490268087231,8.265215709124853,10.458833698360719,2.6160345679212895,4.955644384898947
64.0,4.613738171819723,8.902812509598334,8.384966738756226,11.01127582984148,2.743430617892318,5.023828306608183
65.0,4.639633364548051,8.900670962425679,8.361819160334077,10.868985232067809,2.820753483231781,4.992445541488616
66.0,4.654156856443682,8.980888829833779,8.443101419150732,10.53656546928856,2.839804369930344,5.066120629716928
67.0,4.645489301471424,8.929901886778335,8.411592025338866,10.293752336449137,2.8726198615773804,5.039519689167964
68.0,4.641585343522509,8.875723132418335,8.411638110094644,10.8159939424244,2.911680331696985,5.008136924048403
69.0,4.637681385573594,8.908414216375443,8.466205419984394,10.653450804068045,2.940767850985358,5.071799726852847
70.0,4.705708645330696,8.956991263958345,8.438217311921516,10.322833233942195,2.9694542190038278,5.055211071727751
71.0,4.687513896311749,8.966286037787132,8.509209698188881,10.063403237185417,3.0076839207905115,5.097355663964474
72.0,4.740907296863073,9.018058263539036,8.480540179385889,10.055592927952276,3.0832084407268376,5.130430878632422
73.0,4.7133362739808815,8.973454943092726,8.543270150857124,10.4379163760682,3.11791801813806,5.119117986039075
74.0,4.696611270821221,9.010938932412438,8.523544457590376,10.193118235563782,3.158179193917852,5.105874309668349
75.0,4.754692808304171,9.040359923762194,8.494874938787387,9.93368823880705,3.2214521983690156,5.163291894014133
76.0,4.72712178542198,8.995756603315884,8.54510819305137,9.674258242050273,3.2727262991458623,5.187870283755361
77.0,4.705708645330696,8.956991263958345,8.537879216991875,9.496258177732011,3.3166782795414766,5.170806667300646
78.0,4.806341869023043,8.999453037231998,8.517174547697278,10.063403237185417,3.3576905939149957,5.27182779277743
79.0,4.833905489180833,9.018058263539036,8.546946235245615,9.803973240428638,3.4472144017381474,5.287893766470006
80.0,4.81290907792953,8.973454943092726,8.555796411995194,9.544543243671859,3.498390160918034,5.296885043668828
81.0,4.943891498077407,8.929901886778335,8.55246036182835,9.481117978290737,3.5252622675398806,5.379410658638229
82.0,5.060810079624887,9.040359923762194,8.54878427743986,9.93368823880705,3.659094673148311,5.376707222517446
83.0,5.088771987010156,8.995756603315884,8.553305875574864,9.674258242050273,3.7716399171671395,5.3812957195458795
84.0,5.279955904166749,8.947961471565009,8.55368572329118,9.49121144458492,3.843604748566398,5.548636812849049
85.0,5.445190283042699,9.062661583985344,8.577264787835462,9.465977778849467,3.9688625984370094,5.648927673997533
86.0,5.461506653451129,9.018058263539036,8.569257029170126,9.435697379966925,4.257752022204906,5.683541905339504
87.0,6.058571135082846,8.973454943092726,8.556960505384883,9.544543243671859,4.466499657840781,5.788236316121669
88.0,6.178702376634357,9.077529357467451,8.585652394217117,9.47607124514365,4.644040720212903,5.8047235167703395
