variant,phase,phase_index,n_frames,duration_s,head_linear_speed_median_m_s,head_linear_speed_p95_m_s,head_angular_speed_median_deg_s,head_angular_speed_p95_deg_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,hp_translation_rms_mm,hp_translation_p95_mm,hp_rotation_rms_deg,hp_rotation_p95_deg,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,static_lock_uptime_pct,display_coverage_pct,observation_lag_median_ms,output_target_lag_median_ms
EgoAnchor w/o StaticLock,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,4.333896195701541,6.872211482185024,2.7890778498373257,4.073156651433618,1.1666359013348333,1.9124926323481979,0.7918407655940481,1.460893362972059,1.5374008746557495,0.6101779276970002,64.18224971577165,0.0,0.0,100.0,223.04435000114609,291.0151581527316
EgoAnchor w/o VCD,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,2.3326785439579365,2.7938717713825025,2.6296331281465086,2.9747172562164885,0.05072639926186253,0.1180170000000258,0.017347905090219166,0.037595297562836374,0.15487790007825564,0.05348332808067569,9.684643037469115,84.91071428571428,100.0,100.0,223.04435000114609,
EgoAnchor w/o capture-time alignment,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,4.1708015450395175,13.042149931954972,2.9781373548112917,3.5221489070111707,4.361957238624599,1.2973460332664752,0.43074313290182953,0.8060144835893281,3.2655068193445924,0.41104264422763975,15.071367567185664,76.51785714285714,83.75,100.0,223.04435000114609,250.02555000173743
EgoAnchor w/o temporal synthesis,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,2.3400805371054028,2.779854963445584,2.644503627698766,2.998796416687836,0.05037704974675092,0.11560300000001966,0.017252983384582497,0.03809374835221642,0.15424440560354402,0.05297620676600182,9.684643037469115,84.91071428571428,100.0,100.0,223.04435000114609,
One-Euro Anchor,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,3.8950332640662735,6.30712385934321,2.7979467179800177,3.7613385187317374,0.6572814841761143,1.3676315785766284,0.4122261970536152,0.7808257461906075,1.7672114043002096,0.894026857799012,9.684643037469115,84.91071428571428,0.0,100.0,223.04435000114609,223.04435000114609
Arrival-Hold,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,8.514007930469463,16.53965049599361,2.6495458927082,4.118632448822828,3.975724313138138,7.150018385044049,1.135012586720363,2.085825649797397,10.329019287602435,2.422738336399684,9.712618220933642,85.08500772797527,0.0,100.0,216.44240000023274,48.68380000334582
Capture-Hold,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,4.0496914721510535,8.821429824936237,2.6869690612614914,4.072340906644294,3.5140863981552233,2.5013258508240814,1.1239365051419237,2.0269728480428375,9.758856059010096,2.3989861678471325,9.712618220933642,85.08500772797527,0.0,100.0,216.44240000023274,216.44240000023274
EgoAnchor,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,2.801479306630504,3.496730951704157,2.5615768404977777,2.735692291669169,0.0252495212064297,0.05420287528352143,0.01663201024440324,0.032214612021229674,0.13839208553139193,0.04671119009433556,9.310022647008932,85.7032457496136,100.0,100.0,216.44240000023274,
EgoAnchor w/o StaticLock,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,3.834194876555744,8.925745030220865,2.6521115727905187,3.9445979452249946,2.915236680280207,2.9076594863950334,0.9296387652116862,1.7398337109503619,4.561372934521973,0.7554787092807553,65.11983408232193,0.0,0.0,100.0,216.44240000023274,281.47663369600195
EgoAnchor w/o VCD,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,2.801479306630504,3.496730951704157,2.561585132214414,2.735697715730709,0.0252495212064297,0.05420287528352143,0.016632304904478507,0.032214679999379436,0.13839208553139193,0.04671125999524656,9.310022647008932,85.7032457496136,100.0,100.0,216.44240000023274,
