experiment_id,scenario_id,condition_id,variant_label,metric_name,trial_count,median,iqr,p95
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,candidate_processing_p50_ms,19,75.7538000009954,2.108300001360476,77.20078999996186
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,candidate_processing_p95_ms,19,84.59570000134408,3.1454049977473915,90.82659899942573
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,observation_age_p50_ms,19,216.98235000076238,5.179075002160971,223.29424000126892
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,observation_age_p95_ms,19,265.9565999987535,11.874272504792316,277.9244000012113
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,smoothing_delay_p50_ms,19,284.9063277244568,7.039904594421387,292.54170060157776
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,smoothing_delay_p95_ms,19,292.93130338191986,11.216692626476288,359.1120830096395
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,visual_perception_hz,19,9.554302224107369,0.2509694016622994,10.096602686404609
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,render_hz,19,68.92897874886533,2.2016349438866882,70.4951399749956
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,reference_coverage,15,1.0,0.0,1.0
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,display_coverage,15,1.0,0.0,1.0
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,output_coverage,15,0.9366153846153846,0.3285387934681445,1.0
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,translation_error_mm_median,15,4.355750139220045,16.49706049783621,50.63557312177358
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,translation_error_mm_iqr,15,7.577876897379733,24.805595747218117,46.32430365284527
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,translation_error_mm_p95,15,15.259479379294207,41.94376170102371,52.88879084365709
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,rotation_error_deg_median,15,3.731492312705134,18.856826474973296,33.98283159505563
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,rotation_error_deg_iqr,15,2.1588331142784734,16.820057980165206,29.451888136445035
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,rotation_error_deg_p95,15,15.246084895736114,19.525890295067054,42.27357967782893
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,candidate_arrival_p50_ms,15,166.0761499988439,160.4378749998432,181.77575500158127
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,candidate_arrival_p95_ms,15,235.93564000038896,43.583775000479136,309.01380650004273
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,candidate_processing_p50_ms,15,70.66014999896288,40.73389999754727,74.37256999984383
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,candidate_processing_p95_ms,15,87.65310000032184,6.752837498392822,93.16547450145704
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,observation_age_p50_ms,15,49.28070000096341,23.263949997271993,139.87835499974588
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,observation_age_p95_ms,15,106.40024999702295,651.8036175000816,1008.2938490005831
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,smoothing_delay_p50_ms,15,49.28070000096341,23.263949997271993,86.77592500098397
exp1_system_characterization,occlusion_recovery,exp1_system_characterization/occlusion_recovery,Arrival-Hold,smoothing_delay_p95_ms,15,106.40024999702295,651.8036175000816,864.7316540001702
