session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,render_tick_count,reference_coverage,display_coverage,output_coverage,translation_error_mm_median,translation_error_mm_iqr,translation_error_mm_p95,rotation_error_deg_median,rotation_error_deg_iqr,rotation_error_deg_p95,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_015,exp1_system_characterization/continuous_translation,Capture-Hold,Capture-Hold,144,1.0,1.0,1.0,65.35492533888723,35.039275249219195,98.51646824229094,8.294489354245663,2.7032463800861013,11.069199039856445,166.56639999928302,183.4814749938232,76.2320499997586,79.90941999983042,215.95505000368576,265.475389999483,215.95505000368576,265.475389999483,9.778178420046844,68.000131815509
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_015,exp1_system_characterization/continuous_translation,EgoAnchor,EgoAnchor,144,1.0,1.0,1.0,84.06580996374453,40.3796804132383,113.89000845972922,9.730530501660864,3.040307939645148,12.362397797861254,166.450150001765,183.36691499971494,76.2320499997586,79.90941999983042,215.946400003304,265.46765999883064,279.0554016828537,287.11844980716705,9.778178420046844,68.000131815509
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_015,exp1_system_characterization/continuous_translation,One-Euro Anchor,One-Euro Anchor,144,1.0,1.0,1.0,99.70935221687195,48.4960195593973,141.6084200661164,10.438679257776375,4.406285782439442,14.238941557386548,166.5965500033053,183.5094649959501,76.2320499997586,79.90941999983042,215.95580000212067,265.4761049976514,215.95580000212067,265.4761049976514,9.778178420046844,68.000131815509
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_016,exp1_system_characterization/continuous_translation,Arrival-Hold,Arrival-Hold,146,1.0,1.0,1.0,59.87562855333237,45.18714252302376,100.8704953559537,6.69954128601344,3.32855045078057,10.896990019257142,166.91815000376664,184.00238999965953,76.38205000013113,84.10871999766678,49.22420000002603,98.20090000175696,49.22420000002603,98.20090000175696,9.542984944225216,70.76063288299761
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_016,exp1_system_characterization/continuous_translation,Capture-Hold,Capture-Hold,146,1.0,1.0,1.0,75.73560758904276,48.39633390661895,119.02129166492341,7.539294745024086,2.9741802043849894,12.058388029950487,166.94949999873643,184.03291999893557,76.38205000013113,84.10871999766678,216.69679999831715,274.49087500463065,216.69679999831715,274.49087500463065,9.542984944225216,70.76063288299761
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_016,exp1_system_characterization/continuous_translation,EgoAnchor,EgoAnchor,146,1.0,1.0,1.0,96.68853483092316,63.81039893128365,137.48511466858832,7.938784826053475,3.3377126371648753,12.77455185229857,166.83464999732678,183.91924999741607,76.38205000013113,84.10871999766678,216.68774999852758,274.4826500020281,283.054918050766,295.10049521923065,9.542984944225216,70.76063288299761
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_016,exp1_system_characterization/continuous_translation,One-Euro Anchor,One-Euro Anchor,146,1.0,1.0,1.0,115.28167170130638,69.73239758874331,170.89772357366314,8.863084689624088,4.435347903773348,14.104817616666606,166.9809000013629,184.05659999552884,76.38205000013113,84.10871999766678,216.6975000000093,274.49150000211375,216.6975000000093,274.49150000211375,9.542984944225216,70.76063288299761
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_017,exp1_system_characterization/continuous_translation,Arrival-Hold,Arrival-Hold,137,1.0,1.0,1.0,41.002734253791246,21.42520317446512,61.11208667605367,4.345440232590062,37.62477635758532,64.965012047542,167.4454499989224,195.47614999610232,75.8099500015378,84.87743500415236,41.93860000668792,98.25520000013057,41.93860000668792,98.25520000013057,9.591266656997265,65.91322678785718
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_017,exp1_system_characterization/continuous_translation,Capture-Hold,Capture-Hold,137,1.0,1.0,1.0,51.1139608659401,25.232121467738658,71.7478157787918,4.833246944191099,36.18664460882447,64.38887605708116,167.47749999922235,195.51156499874196,75.8099500015378,84.87743500415236,217.0057999974233,265.9654999981285,217.0057999974233,265.9654999981285,9.591266656997265,65.91322678785718
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_017,exp1_system_characterization/continuous_translation,EgoAnchor,EgoAnchor,137,1.0,1.0,1.0,68.39976312725074,27.78760283493807,80.83374458520338,14.005129654304753,41.83043945003463,59.21544682592054,167.35854999933508,195.38653000163322,75.8099500015378,84.87743500415236,216.9953999982681,265.9565999987535,285.98061203956604,291.70323610305786,9.591266656997265,65.91322678785718
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_017,exp1_system_characterization/continuous_translation,One-Euro Anchor,One-Euro Anchor,137,1.0,1.0,1.0,78.80636122770835,33.73252987513471,102.85010568046317,11.827476580786922,43.80258288128253,54.78480869944594,167.50490000049467,195.5407550023665,75.8099500015378,84.87743500415236,217.00659999623895,265.9663599959458,217.00659999623895,265.9663599959458,9.591266656997265,65.91322678785718
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_018,exp1_system_characterization/continuous_translation,Arrival-Hold,Arrival-Hold,481,1.0,1.0,1.0,8.025210247534082,8.444090987550533,83.36801760139244,2.2385883211269997,1.3193276343204345,4.368523352328221,180.70274999990943,202.3361400046269,75.3068000022322,85.86735000032931,46.93019999831449,103.76030000043102,46.93019999831449,103.76030000043102,9.641010006180645,66.7819053369959
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_018,exp1_system_characterization/continuous_translation,Capture-Hold,Capture-Hold,481,1.0,1.0,1.0,7.983546253358266,14.866772724277858,114.45626574525686,2.392628365243414,1.8703529618022214,6.281140756744415,180.7373000010557,202.3703650011157,75.3068000022322,85.86735000032931,222.99149999889778,277.89800000027753,222.99149999889778,277.89800000027753,9.641010006180645,66.7819053369959
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_018,exp1_system_characterization/continuous_translation,EgoAnchor,EgoAnchor,481,1.0,1.0,1.0,13.687646763235483,21.91908856610324,142.23547580245426,2.3037007992957212,1.8507549302891557,8.025511593548952,180.6271999994351,202.25194000158805,75.3068000022322,85.86735000032931,222.98359999695094,277.8896000017994,292.4468517303467,302.549546957016,9.641010006180645,66.7819053369959
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_018,exp1_system_characterization/continuous_translation,One-Euro Anchor,One-Euro Anchor,481,1.0,1.0,1.0,7.811628628660819,37.54928725323426,168.2891105046361,2.0090849821216117,1.5826435918033257,9.233619996787024,180.76695000127074,202.4000000030355,75.3068000022322,85.86735000032931,222.99219999695197,277.89880000636913,222.99219999695197,277.89880000636913,9.641010006180645,66.7819053369959
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,,exp1_system_characterization/continuous_rotation,Arrival-Hold,Arrival-Hold,1021,1.0,1.0,1.0,3.5802274355945896,0.622074046045118,4.343607613424395,1.3380275819845886,0.4559336572453385,2.000058885234391,166.58369999640854,194.68997999938438,75.29470000043511,85.25554000139236,48.14359999727458,97.95309999753954,48.14359999727458,97.95309999753954,9.635753565629885,70.98114318427128
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,,exp1_system_characterization/continuous_rotation,Capture-Hold,Capture-Hold,1021,1.0,1.0,1.0,3.5198784091075783,0.5169933170473806,4.333018971598937,1.3370449839036802,0.4607237864059177,2.0261392904356437,166.61909999675117,194.72183999459958,75.29470000043511,85.25554000139236,216.31690000504022,265.22290000139037,216.31690000504022,265.22290000139037,9.635753565629885,70.98114318427128
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,,exp1_system_characterization/continuous_rotation,EgoAnchor,EgoAnchor,1021,1.0,1.0,1.0,3.9943675652716424,0.7381420874588378,4.922032877523374,1.9022315986259255,0.5459409367281476,4.191938000512182,166.50700000172947,194.60467999742832,75.29470000043511,85.25554000139236,216.30620000360068,265.2123000007123,279.6905040740967,282.40660429000854,9.635753565629885,70.98114318427128
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,,exp1_system_characterization/continuous_rotation,One-Euro Anchor,One-Euro Anchor,1021,1.0,1.0,1.0,3.55418855480533,0.5516864607841798,4.354715720788819,1.3470394966554513,0.41591742908147245,2.030377155505573,166.64899999886984,194.74975999473827,75.29470000043511,85.25554000139236,216.31750000233296,265.2234999986831,216.31750000233296,265.2234999986831,9.635753565629885,70.98114318427128
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_001,exp1_system_characterization/continuous_rotation,Arrival-Hold,Arrival-Hold,1569,1.0,1.0,1.0,7.003403204032692,6.408976456351638,15.954563406865518,8.833755919916879,8.367834956995768,19.339187655639915,166.60234999653767,208.1585499981884,75.87989999912679,86.53622500225902,49.10859999654349,98.61339999915799,49.10859999654349,98.61339999915799,9.602601431374236,69.89582121457249
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_001,exp1_system_characterization/continuous_rotation,Capture-Hold,Capture-Hold,1569,1.0,1.0,1.0,6.801312572738286,6.259734521143374,15.139651611680542,8.97216459588099,8.260745690432291,19.38600620351447,166.63714999958756,208.19202500206302,75.87989999912679,86.53622500225902,216.35860000242246,277.7539600021555,216.35860000242246,277.7539600021555,9.602601431374236,69.89582121457249
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_001,exp1_system_characterization/continuous_rotation,EgoAnchor,EgoAnchor,1569,1.0,1.0,1.0,8.085493804876343,7.356711436022369,17.825462398688728,12.37607994452232,9.764642523294171,23.020919857306723,166.5151999986847,208.08070000020962,75.87989999912679,86.53622500225902,216.34700000140583,277.74352000269573,281.82026743888855,324.8219817876816,9.602601431374236,69.89582121457249
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_001,exp1_system_characterization/continuous_rotation,One-Euro Anchor,One-Euro Anchor,1569,1.0,1.0,1.0,7.8331322564063575,7.683423042207252,19.615018521622602,13.287141503805191,10.516624877236465,26.57944521453893,166.66760000225622,208.22125000267988,75.87989999912679,86.53622500225902,216.3594000012381,277.7545999997528,216.3594000012381,277.7545999997528,9.602601431374236,69.89582121457249
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_002,exp1_system_characterization/continuous_rotation,Arrival-Hold,Arrival-Hold,1350,1.0,1.0,1.0,5.731816209694715,2.974561747137982,10.16807106417203,5.465854895919213,6.130567464741913,16.848311489811973,166.5971999973408,194.81527999596437,76.28450000286102,88.66587999910116,48.84404999756953,98.79962999875715,48.84404999756953,98.79962999875715,9.527221225676678,69.58247784668386
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_002,exp1_system_characterization/continuous_rotation,Capture-Hold,Capture-Hold,1350,1.0,1.0,1.0,5.72708111553294,2.604824025878357,10.07377036360764,5.458516355612959,6.157221498339151,16.867649977604987,166.63079999852926,194.84601999865845,76.28450000286102,88.66587999910116,216.31015000093612,265.98055999711505,216.31015000093612,265.98055999711505,9.527221225676678,69.58247784668386
