session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,baseline_variant,variant_id,variant_label,metric_name,metric_value_baseline,metric_value_variant,delta_variant_minus_baseline,paired_n
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,smoothing_delay_p50_ms,47.75399999925867,216.58659999957308,168.83260000031441,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,smoothing_delay_p95_ms,98.30219999712425,277.6841200022318,179.38192000510753,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,visual_perception_hz,9.662200445880814,9.662200445880814,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,render_hz,64.91769440877175,64.91769440877175,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,reference_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,display_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,output_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,translation_error_mm_median,5.892079107736975,5.982933756350954,0.09085464861397963,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,translation_error_mm_iqr,2.4984180535008207,2.2023687552910634,-0.29604929820975734,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,translation_error_mm_p95,9.080320344668067,7.155202365780894,-1.9251179788871733,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,rotation_error_deg_median,3.2819020739309694,3.4086561851193444,0.12675411118837498,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,rotation_error_deg_iqr,0.921667123871722,0.29151944836878485,-0.6301476755029372,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,rotation_error_deg_p95,4.2477062384184885,3.680874778400833,-0.5668314600176556,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,candidate_arrival_p50_ms,166.84559999703197,166.7368999987957,-0.10869999823626131,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,candidate_arrival_p95_ms,195.22149999829708,195.13937999872724,-0.08211999956984073,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,candidate_processing_p50_ms,75.23009999841452,75.23009999841452,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,candidate_processing_p95_ms,90.15942000076176,90.15942000076176,0.0,1
