session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,candidate_count,render_tick_count,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,169,1120,167.484700003115,223.05304000037722,74.96040000021458,83.46844000145794,223.01119999974617,298.6335049972695,,,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,169,1120,167.64010000042617,223.19995999714592,74.96040000021458,83.46844000145794,223.02030000355444,298.6423599992122,223.02030000355444,298.6423599992122,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,193,1294,166.61260000546463,207.96770000451943,74.38229999691248,85.92879999950527,48.65530000097351,97.68918999652668,48.65530000097351,97.68918999652668,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,193,1294,166.64310000487603,207.99928000196815,74.38229999691248,85.92879999950527,216.409950000525,277.2918849990674,216.409950000525,277.2918849990674,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,193,1294,166.5221999937785,207.88351999945007,74.38229999691248,85.92879999950527,216.40069999921252,277.2833599970909,,,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,193,1294,166.67379999853438,208.02844000136247,74.38229999691248,85.92879999950527,216.4136999999755,277.2925149965886,216.4136999999755,277.2925149965886,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,194,1297,166.71280000446131,199.87717499898275,74.84614999778569,85.02461499962955,48.63479999767151,98.45968000154244,48.63479999767151,98.45968000154244,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,194,1297,166.7474999994738,199.91146500033204,74.84614999778569,85.02461499962955,216.43870000116294,277.69528000062564,216.43870000116294,277.69528000062564,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,194,1297,166.62970000106725,199.7861200012266,74.84614999778569,85.02461499962955,216.42879999853903,277.6869600013015,,,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,194,1297,166.77550000167685,199.95160999606009,74.84614999778569,85.02461499962955,216.43949999997858,277.6958799979184,216.43949999997858,277.6958799979184,9.607169317747232,64.24865721545093
